,model_id,category,learning_rate,num_train_epochs,per_device_train_batch_size,num_parameters,eval_accuracy,eval_f1,eval_precision,eval_recall,test_accuracy,test_f1,test_precision,test_recall
27,facebook/convnextv2-tiny-1k-224,convnext,2e-05,10,16,28635496,0.8050847457627118,0.6946902654867256,0.7658536585365854,0.6356275303643725,0.7838983050847458,0.662251655629139,0.7246376811594203,0.6097560975609756
28,facebook/convnextv2-tiny-1k-224,convnext,0.0002,5,8,28635496,0.6822033898305084,0.5243128964059196,0.5486725663716814,0.5020242914979757,0.6765536723163842,0.5138004246284501,0.5377777777777778,0.491869918699187
29,facebook/convnextv2-tiny-1k-224,convnext,0.0002,5,16,28635496,0.7782485875706214,0.6463963963963963,0.7284263959390863,0.5809716599190283,0.7478813559322034,0.6148867313915857,0.6551724137931034,0.5792682926829268
30,facebook/convnextv2-tiny-1k-224,convnext,0.0002,10,8,28635496,0.6871468926553672,0.5050279329608939,0.5635910224438903,0.4574898785425101,0.684322033898305,0.5016722408026756,0.5555555555555556,0.4573170731707317
31,facebook/convnextv2-tiny-1k-224,convnext,0.0002,10,16,28635496,0.6892655367231638,0.5111111111111111,0.5665024630541872,0.46558704453441296,0.682909604519774,0.5016648168701442,0.5525672371638142,0.45934959349593496
32,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,2e-05,5,8,4901841,0.6278248587570622,0.5051643192488263,0.4711033274956217,0.5445344129554656,0.6186440677966102,0.5,0.45918367346938777,0.5487804878048781
33,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,2e-05,5,16,4901841,0.594632768361582,0.49825174825174817,0.43846153846153846,0.5769230769230769,0.6115819209039548,0.5217391304347827,0.45592705167173253,0.6097560975609756
34,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,2e-05,10,8,4901841,0.6864406779661016,0.5542168674698795,0.549800796812749,0.5587044534412956,0.6822033898305084,0.5596868884540118,0.539622641509434,0.5813008130081301
35,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,2e-05,10,16,4901841,0.6596045197740112,0.5495327102803738,0.5104166666666666,0.5951417004048583,0.6362994350282486,0.5296803652968036,0.48092868988391374,0.5894308943089431
36,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,0.0002,5,8,4901841,0.7846045197740112,0.660734149054505,0.7333333333333333,0.6012145748987854,0.7704802259887006,0.644808743169399,0.6973995271867612,0.5995934959349594
37,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,0.0002,5,16,4901841,0.760593220338983,0.6472424557752341,0.6659528907922913,0.6295546558704453,0.7570621468926554,0.6363636363636364,0.6629955947136564,0.6117886178861789
38,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,0.0002,10,8,4901841,0.8192090395480226,0.736625514403292,0.7489539748953975,0.7246963562753036,0.7902542372881356,0.6953846153846155,0.7018633540372671,0.6890243902439024
39,apple/mobilevitv2-1.0-imagenet1k-256,mobilevit,0.0002,10,16,4901841,0.8213276836158192,0.7389060887512898,0.7536842105263157,0.7246963562753036,0.7831920903954802,0.6870540265035678,0.689161554192229,0.6849593495934959
40,google/mobilenet_v1_1.0_224,mobilenet,2e-05,5,8,4233001,0.722457627118644,0.5315852205005959,0.6463768115942029,0.451417004048583,0.7146892655367232,0.5201900237529691,0.6257142857142857,0.4451219512195122
41,google/mobilenet_v1_1.0_224,mobilenet,2e-05,5,16,4233001,0.7288135593220338,0.5417661097852029,0.6598837209302325,0.45951417004048584,0.7182203389830508,0.5333333333333333,0.628099173553719,0.4634146341463415
42,google/mobilenet_v1_1.0_224,mobilenet,2e-05,10,8,4233001,0.7549435028248588,0.5742331288343557,0.7289719626168224,0.47368421052631576,0.739406779661017,0.5483476132190943,0.6892307692307692,0.45528455284552843
43,google/mobilenet_v1_1.0_224,mobilenet,2e-05,10,16,4233001,0.7584745762711864,0.5849514563106796,0.7303030303030303,0.48785425101214575,0.7365819209039548,0.5554231227651967,0.6714697406340058,0.4735772357723577
44,google/mobilenet_v1_1.0_224,mobilenet,0.0002,5,8,4233001,0.8100282485875706,0.7091891891891892,0.7610208816705336,0.6639676113360324,0.7860169491525424,0.6738428417653392,0.7162471395881007,0.6361788617886179
45,google/mobilenet_v1_1.0_224,mobilenet,0.0002,5,16,4233001,0.8107344632768362,0.7080610021786493,0.7665094339622641,0.6578947368421053,0.777542372881356,0.6519337016574586,0.7142857142857143,0.5995934959349594
46,google/mobilenet_v1_1.0_224,mobilenet,0.0002,10,8,4233001,0.7888418079096046,0.6606129398410896,0.751937984496124,0.5890688259109311,0.7662429378531074,0.6350606394707828,0.6939759036144578,0.5853658536585366
47,google/mobilenet_v1_1.0_224,mobilenet,0.0002,10,16,4233001,0.8220338983050848,0.7242888402625822,0.7880952380952381,0.6700404858299596,0.7980225988700564,0.6937901498929336,0.7330316742081447,0.6585365853658537
